created_at,text,category
2022-12-26 08:05:53+00:00,tumbuh ekonomi tahun depan kira lebih lambat dari tumbuh ekonomi tahun hal tak lepas dari faktor ekonomi global ramal bakal alami resesi meski lambat tumbuh ekonomi indonesia proyeksi tumbuh atas pd tahun depan,0
2022-12-26 08:36:33+00:00,teliti ungkap ekonomi dunia bakal resesi tahun,0
2022-12-26 13:26:39+00:00,situasi ekonomi tahun depan penuh ketidakpastian benar indonesia bakal ikut masuk jurang resesi juga yg yakin tidak gaya hidup apa yg cocok situasi kayak gin penasaran dgn frugal living besok gabung yuk live ig kbr,0
2022-12-27 02:31:19+00:00,as negara barat landa resesi hiper inflasi hidup rakyat makin susah ekonomi merosot daya beli lemah rusia tinggal petik cuan,0
2022-12-27 04:23:31+00:00,indonesia optimis hadap resesi global ekonomi indonesia terus tumbuh hingga tahun,1
2022-12-27 04:23:43+00:00,bangkit dari tekan ekonomi akibat pandemi tengah ancam resesi,1
2022-12-27 04:27:04+00:00,jumlah negara dunia alami resesi masuk jurang krisis ekonomi tahun ikut deret negara dunia masuk jurang krisis ekonomi,0
2022-12-27 06:06:59+00:00,optimis tahun meski tengah resesi global sektor pariwisata ekonomi kreatif terus datang banyak peluang usaha ikhtiar wujud juta cipta lapang kerja baru tahun wujud,1
2022-12-27 06:10:35+00:00,pak jokowi hebat jokowi pasti kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-27 09:19:35+00:00,ketua umum partai bangkit bangsa pkb abdul muhaimin iskandar optimistis masyarakat indonesia mampu hadap ancam ekonomi resesi global,1
2022-12-27 10:32:52+00:00,elon musk beberapa ekonom barat kira jadi resesi ekonomi tahun kira mulai pulih tahun siap siap gaess,0
2022-12-27 10:54:16+00:00,dunia gelap prediksi resesi ekonomi,0
2022-12-28 00:50:33+00:00,gus muhaimin optimistis masyarakat indonesia mampu hadap ancam ekonomi resesi global tumbuh ekonomi indonesia prediksi kisar hingga persen,1
2022-12-28 04:54:31+00:00,ekonomi lesu isu resesi tesla ancang ancang phk karyawan,0
2022-12-28 05:40:19+00:00,menteri bumn erick thohir tegas ekonomi indonesia terus tumbuh hingga tahun etho kata yg penting hadap resesi saling gotong royong,1
2022-12-28 08:56:06+00:00,optimis mampu hadap ancam ekonomi global ajak seluruh masyarakat positif pandang ancam ekonomi global tantang terus tingkat ekonomi ujar gus muhaimin,1
2022-12-28 09:05:32+00:00,menteri bumn erick thohir tegas ekonomi indonesia terus tumbuh hingga tahun erick thohir kata penting hadap resesi saling gotong royong,1
2022-12-28 12:31:50+00:00,erick thohir tegas ekonomi indonesia terus tumbuh hingga erick yakin indonesia tahan meski geopolitik yg akibat gejolak ekonomi global erick yg penting utk hadap resesi saling gotong royong,1
2022-12-28 15:59:45+00:00,ekonomi inggris sedang tidak baik baik inflasi tinggi lonjak harga energi buruk dagang usai brexit hingga ancam resesi,0
2022-12-28 23:15:40+00:00,ramal ekonomi resesi bangkrut massal,0
2022-12-29 01:23:21+00:00,wall street tutup turun imbas khawatir resesi,0
2022-12-29 01:51:09+00:00,ekonomi indonesia kuat indonesia maju resesi,1
2022-12-29 01:52:49+00:00,masyarakat indonesia kata jangan takut indonesia tidak resesi ekonomi indonesia bagus tapi masyarakat terus gotong royong saling bantu sama rajin tabung,1
2022-12-29 01:54:07+00:00,menteri bumn erick thohir tegas masyarakat indonesia tidak takut hadap resesi global tumbuh ekonomi negara terus naik dengan gotong royong insya allah ekonomi indonesia tidak gelap,1
2022-12-29 02:24:42+00:00,erick thohir yakin ekonomi indonesia tetap cerah hadap resesi ekonomi indonesia yakin tetap tumbuh lima persen,1
2022-12-29 02:26:52+00:00,hantu resesi ekonomi bursa saham wall street lemah semua lewat,0
2022-12-29 03:02:12+00:00,menteri bumn kata masyarakat indonesia jangan takut indonesia tidak resesi ekonomi indonesia bagus beliau ajak masyarakat saling gotong royong rajin tabung yes,1
2022-12-29 03:21:38+00:00,menteri bumn erick thohir ajak semua gotong royong tabung hadap resesi kata masyarakat indonesia tidak takut thd resesi tumbuh ekonomi negara terus naik,1
2022-12-29 05:17:45+00:00,menteri bumn erick thohir tumbuh ekonomi indonesia terus naik hingga karena masyarakat indonesia tidak takut hadap resesi global,1
2022-12-29 05:28:25+00:00,menteri bumn erick thohir nyata masyarakat indonesia tidak takut hadap resesi global tumbuh ekonomi negara terus naik hingga,1
2022-12-29 05:28:50+00:00,optimisme menteri bumn sangat kuat indonesia tak alami resesi ekonomi beliau yakin ekonomi indonesia tetap tumbuh budaya gotong royong masyarakat indonesia mampu hadap dampak resesi global,1
2022-12-29 05:35:13+00:00,pak jokowi hebat pasti kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-29 10:37:46+00:00,menteri bumn erick thohir masyarakat indonesia tidak takut hadap resesi global ekonomi indonesia terus tumbuh hingga indonesiaa bisaa,1
2022-12-29 11:27:27+00:00,menteri bumn nyata masyarakat indonesia tidak takut hadap resesi global tumbuh ekonomi negara terus naik hingga insyaallah ekonomi indonesia tidak gelap,1
2022-12-29 12:25:12+00:00,dana moneter internasional imf ingat tahun resesi ekonomi alami banyak negara jadi resesi tahun depan bagaimana harus kelola uang tahun depan apa hal harus perhati besok bahas,0
2022-12-29 12:49:03+00:00,ekonomi resesi bangkrut massal,0
2022-12-29 12:50:26+00:00,menteri bumn nyata masyarakat indonesia tidak takut hadap resesi global tumbuh ekonomi negara terus naik hingga tahun insyaallah ekonomi indonesia tidak gelap,1
2022-12-29 12:56:34+00:00,masyarakat indonesia erick thohir kata jangan takut indonesia tidak resesi ekonomi indonesia bagus tapi masyarakat terus gotong royong saling bantu sama,1
2022-12-29 13:41:33+00:00,optimis indonesia hadap ancam ekonomi resesi global,1
2022-12-29 16:10:33+00:00,tanda indonesia tidak alami resesi ekonomi,1
2022-12-29 16:47:43+00:00,tumbuh ekonomi kebal hadap resesi ini bohong,1
2022-12-29 17:57:32+00:00,ancam resesi ekonomi hantu robert kiyosaki ingat aset layak koleksi,0
2022-12-30 01:34:52+00:00,nyata etho bawa semangat optimisme kuat tidak takut hadap resesi global tumbuh ekonomi indonesia terus naik hingga insyaallah negara cerah,1
2022-12-30 02:32:02+00:00,apindo ingat perintah waspada resesi tahun tantang ekonomi fase perfect storm tahun depan akan hadap jumlah negara masuk indonesia perintah minta waspada jadi resesi tahun depan baca,0
2022-12-30 03:56:15+00:00,jangan khawatir ancam resesi saran pakar ekonomi islam,1
2022-12-30 04:40:00+00:00,yon tutur kondisi ekonomi indonesia lebih baik dari negara karena tidak alami masa resesi di tahun depan harap konsolidasi fiskal capai rest in love thailand,1
2022-12-30 05:18:02+00:00,bursa saham gejolak hantu resesi ekonomi covid china,0
2022-12-30 06:35:19+00:00,mantap presiden jokowi pasti kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-30 08:17:29+00:00,menteri bumn erick thohir nyata masyarakat indonesia tidak takut hadap resesi global tumbuh ekonomi negara terus naik hingga,1
2022-12-30 09:54:50+00:00,dana moneter internasional imf kira bakal jadi tahun lesu asa pil pahit negara negara kembang belum pul benar dari lambat ekonomi akibat pandemi covid,0
2022-12-30 09:59:42+00:00,dunia memang tak sedang baik baik ancam resesi ekonomi jumlah negara hambat pasok energi dunia harga pangan pupuk terus lonjak naik inflasi suku bunga tinggi saja pengaruh pukul proses pulih ekonomi,0
2022-12-30 11:58:02+00:00,anggota komisi xi dpr optimistis ekonomi indonesia hindar dari ancam resesi,1
2022-12-30 12:32:23+00:00,mantan menkeu sebut indonesia bakal selamat dari resesi begini tanggap amat ekonomi unhas,1
2022-12-30 15:31:07+00:00,ekonomi indonesia nilai tangguh meski bayang resesi global,1
2022-12-31 06:16:36+00:00,kanselir menteri uang inggris jeremy hunt umum november ekonomi negara telah pasuk resesi sumber agens,0
2022-12-31 06:51:47+00:00,bangun ikn bawa peluang tumbuh ekonomi tengah tengah resesi global,1
2022-12-31 07:14:46+00:00,bangun ikn bawa peluang tumbuh ekonomi tengah resesi global,1
2022-12-31 07:25:26+00:00,presiden joko widodo pasti kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-31 07:34:34+00:00,semangaat indonesia kembang dinamika global ri smg kuat tahan ekonomi pangan sehat energi tahun smg tumbuh ekonomi ri atas inflasi bawah tumbuh ekonomi positif makna tidak resesi ekonomi,1
2022-12-31 07:36:02+00:00,gubernur edy rahmayadi pasti pemprov sumut hadap tantang resesi ekonomi via,1
2022-12-31 07:47:36+00:00,bangun ikn bawa peluang tumbuh ekonomi tengah tengah resesi global hadir dukung,1
2022-12-31 09:19:08+00:00,bangun ikn bawa peluang tumbuh ekonomi yengah tengah resesi global,1
2022-12-31 11:09:21+00:00,dana moneter internasional imf ingat bisa alami banyak negara masuk indonesia nah bgmn harus kelola uang thn depan bahas,0
2022-12-31 12:54:11+00:00,ri hasil lewat masa pandemi ancam resesi lewat ekonomi tumbuh positif,1
2022-12-31 16:36:28+00:00,oke moga resesi ekonomi tidak jadi hahaha,1
2022-12-31 17:04:10+00:00,jokowi bangga ekonomi indonesia paling tangguh tengah isu resesi global itu yg dibanggabanggakan kader pdip barangkali masuk yg terima zakat,1
2022-12-31 18:53:59+00:00,tumbuh ekonomi indonesia tahun proyeksi dapat arung ancam resesi global baik tumbuh persen kutip gubernur bi perry warjiyo,1
2023-01-01 01:03:03+00:00,meski tengah situasi ancam resesi global perintah ungkap tumbuh ekonomi indonesia terus lanjut kuartal iv,1
2023-01-01 05:04:29+00:00,ekonomi global tuju resesi,0
2023-01-01 06:55:42+00:00,bayang resesi ekonomi sulsel prediksi bisa tumbuh,1
2023-01-01 12:52:06+00:00,kira ekonomi tahun resesi alami bangkrut,0
2023-01-01 20:08:11+00:00,ya ekonomi dunia tahun skrng alami resesi tapi kata tentu tapi kalo ukraina rusia gk nurunin ego masing buat redam perang bakal gawt ekonomi dunia indo bakal kena dampak,0
2023-01-01 23:15:43+00:00,indonesia lewat masa masa sulit pandemi covid landa resesi ekonomi ancam negeri langkah maju butuh hadap tantang baru,1
2023-01-02 00:19:00+00:00,direktur laksana dana moneter internasional imf kristalina georgieva kata buah wawancara tahun ini jadi tahun sulit bagi besar ekonomi dunia tengah dari negara ue luncur dalam resesi,0
2023-01-02 01:02:00+00:00,presiden jokowi tatap tekad bawa indonesia lang maju ri hasil lewat masa pandemi ancam resesi lewat ekonomi tumbuh positif,1
2023-01-02 02:10:22+00:00,warning ekonomi inggris jangkit resesi panjang,0
2023-01-02 06:00:48+00:00,pak jokowi pasti kondisi ekonomi ri stabil siap hadap resesi,1
2023-01-02 06:50:06+00:00,resolusi versi jokowi ekonomi ri tak kena imbas resesi global,1
2023-01-02 07:00:00+00:00,indonesia hasil lewat masa pandemi ancam resesi lewat ekonomi tumbuh positif jokowi bangkit ekonomi,1
2023-01-02 07:00:01+00:00,pulih ekonomi indonesia relatif kuat aman dari ancam resesi global jokowi bangkit ekonomi,1
2023-01-02 07:02:00+00:00,presiden jokowi hasil bangkit ekonomi nasional tengah ancam resesi global jokowi bangkit ekonomi,1
2023-01-02 07:02:30+00:00,jokowi bangkit ekonomi pulih resesi nasional,1
2023-01-02 07:53:42+00:00,indonesia bebas dari resesi ekonomi global,1
2023-01-02 07:58:48+00:00,politis golkar ekonomi indonesia tangguh hadap resesi global,1
2023-01-02 08:09:07+00:00,prediksi tahun jadi resesi ekonomi seluruh dunia mungkin benar soal sini banyak pramubakti alias pegawai honorer kini rumah padahal byk dari yg hasil dari gaji honorer tsb,0
2023-01-02 08:22:36+00:00,jadi tahun uji ekonomi indonesia jokowi harap negara lewat resesi global,1
2023-01-02 09:17:02+00:00,bos imf ingat ngeri ekonomi global resesi nih,0
2023-01-02 10:10:33+00:00,kepala imf beri ingat buruk ekonomi dunia tahun tiga ekonomi dunia kira resesi,0
2023-01-02 10:10:34+00:00,imf ingat ancam resesi ekonomi dunia,0
2023-01-02 11:07:41+00:00,perintah kota pemkot semarang siap hadap resesi ekonomi prediksi bakal langsung,1
2023-01-02 11:32:34+00:00,tumbuh ekonomi kita alami mampu buat indonesia tahan lewat tantang resesi,1
2023-01-02 11:45:00+00:00,imf tiga ekonomi dunia ancam resesi tahun,0
2023-01-02 11:52:51+00:00,isu resesi global jokowi sebut tahun jadi uji ekonomi indonesia,0
2023-01-02 13:19:33+00:00,imf ingat tiga ekonomi global alami resesi menkeu sri mulyani indonesia akan hadap uji sangat berat perang ukraina naik harga harga suku bunga naik sebar covid china beban ekonomi global,0
2023-01-02 13:49:18+00:00,imf prediksi tiga ekonomi global resesi tahun,0
2023-01-02 15:10:58+00:00,imf keluar ingat yg keri kristalina georgieva kata tiga ekonomi dunia landa resesi harap indonesia milik resistensi lebih kuat dari belum posisi tren ekonomi relatif positif tengah krisis global,0
2023-01-02 18:53:40+00:00,pasuk awal tahun ada resesi ekonomi landa bagi negara sedikit menggangu stabilitas ekonomi dunia bisa tepis dgn viral si sad boy dgn main lato memang yg jadi konsen yg lebih besar tutup dgn hal hal begini,0
2023-01-02 20:22:21+00:00,alhamdulillah moga bumn mampu serap tenaga kerja yg banyak sejahtera rakyat indonesia dpt jaga jgn kita kena dampak resesi ekonomi,1
2023-01-02 22:18:33+00:00,ekonomi china proyeksi makin lesu resesi depan mata nih,0
2023-01-02 23:09:58+00:00,imf prediksi tiga ekonomi dunia resesi tahun,0
2023-01-03 01:09:04+00:00,warning imf tiga ekonomi dunia alami resesi tahun,0
2023-01-03 01:26:44+00:00,dari mancanegara direktur imf kata rupa tahun sulit ekonomi global akibat ada ancam resesi hari ihsg prediksi gerak mixed,0
2023-01-03 03:17:09+00:00,sebab ekonomi indonesia tetap kuat meski badai resesi makin besar,1
2023-01-03 03:21:33+00:00,bukan nakut nakutin imf kasih ingat soal resesi ekonomi bakal alami tiga dunia,0
2023-01-03 03:26:25+00:00,video warning imf tiga ekonomi dunia resesi,0
2023-01-03 03:26:44+00:00,kurs rupiah selasa pagi lemah tengah khawatir potensi resesi ekonomi global mesin tumbuh ekonomi global as eropa china mungkin alami aktivitas lemah,0
2023-01-03 03:28:44+00:00,ingat imf tiga ekonomi global alami resesi,0
2023-01-03 03:36:36+00:00,kurs rupiah lemah tengah khawatir potensi resesi ekonomi global,0
2023-01-03 03:50:34+00:00,rupiah hari buka lemah poin tekan khawatir potensi resesi ekonomi global,0
2023-01-03 04:15:33+00:00,ekonomi china proyeksi makin lesu resesi depan mata,0
2023-01-03 04:20:03+00:00,imf prediksi tiga ekonomi global masuk jurang resesi sri mulyani indonesia hadap uji berat,0
2023-01-03 05:10:36+00:00,rupiah lemah tekan khawatir potensi resesi ekonomi global,0
2023-01-03 06:34:38+00:00,dunia tengah hadap resesi tingkat inflasi ancam stagflasi ini untuk cepat antisipasi kondisi global baik kait ekonomi maupun geopolitik,0
2023-01-03 06:45:29+00:00,rupiah lemah tengah khawatir potensi resesi ekonomi global,0
2023-01-03 07:28:13+00:00,dana moneter internasional imf ingat hingga tiga ekonomi global risiko alami resesi tahun tiga ekonomi utama tiongkok uni eropa amerika serikat sama lambat tahun ini kemungkina,0
2023-01-03 07:55:03+00:00,cabut status ppkm piter aku optimistis kondisi ekonomi indonesia tetap tumbuh positif kisar meski situasi ekonomi global ancam resesi,1
2023-01-03 09:33:24+00:00,bagaimana suara amat belum petinggi dana moneter internasional imf kristalina georgieva ingat stagnasi ekonomi bakal pengaruh,0
2023-01-03 09:38:53+00:00,direktur laksana imf kristalina georgieva kata jadi tahun sulit tiga dari ekonomi dunia kira resesi,0
2023-01-03 13:36:11+00:00,antara negara inggris hadap salah satu resesi buruk,0
2023-01-03 15:03:58+00:00,detak waktu detik kini januari mula dari resesi moga tak dampak depresi ekonomi tetap lari menang hari,0
2023-01-03 15:44:43+00:00,imf ingat tiga ekonomi global alami resesi,0
2023-01-03 16:30:06+00:00,prediksi pakar ekonomi tahun resesi,0
2023-01-03 22:38:57+00:00,kalau tahun beneran resesi tanda tingkat angka cerai sumber masalah dasar rumah tangga ekonomi wkwk,0
2023-01-03 23:16:01+00:00,ramal buruk imf tiga ekonomi dunia bakal resesi,0
2023-01-03 23:27:17+00:00,harga emas lonjak khawatir resesi ekonomi global,0
2023-01-03 23:28:04+00:00,harga emas dunia naik tajam picu khawatir resesi ekonomi global,0
2023-01-04 00:04:27+00:00,kepala ekonom bank of america michael gapen kata risiko ekonomi as jatuh dalam resesi tinggi bisa jadi tahun sulit negara sebut,0
2023-01-04 00:08:56+00:00,harga emas jangka naik tajam imbas khawatir resesi ekonomi,0
2023-01-04 00:32:32+00:00,khawatir resesi ekonomi global pacu harga emas dunia,0
2023-01-04 01:08:13+00:00,khawatir resesi ekonomi global harga emas lonjak,0
2023-01-04 01:33:25+00:00,arif kata transformasi digital sebut indonesia percaya mampu siap diri dari ancam resesi ekonomi dunia,1
2023-01-04 03:14:28+00:00,harga emas lonjak pasar khawatir resesi ekonomi global,0
2023-01-04 03:29:55+00:00,khawatir resesi ekonomi global buat harga emas lonjak news bengkulu,0
2023-01-04 03:41:37+00:00,meski jadi tahun tentu politik bayang ancam resesi ekonomi latar itu akan jadi tahun penuh intrik politik juga polemik,0
2023-01-04 04:06:56+00:00,harga emas lonjak pasar khawatir resesi ekonomi global emas reli kuat kumpul momentum tulis craig erlam analis platform dagang daring oanda catat pasar hari emas rabu,0
2023-01-04 07:00:00+00:00,mampu fundemantal ekonomi nasional tahan tengah resesi global bangga bangga oleh jokowi jaga tumbuh ekonomi,1
2023-01-04 07:00:00+00:00,utk hadap ancam resesi pak jokowi hasil cipta pasti iklim investasi lalu perpu cipta kerja guys nah rupa langkah antisipasi yg sangat dukung yaa jaga tumbuh ekonomi,1
2023-01-04 07:00:00+00:00,antisipasi resesi tahun jadi alas utama presiden joko widodo terbit perppu nomor tahun cipta kerja jaga tumbuh ekonomi,1
2023-01-04 07:00:01+00:00,perpu cipta kerja rupa rencana pak jokowi hadap resesi saing investasi wah moga tahun jalan lancar pak amin jaga tumbuh ekonomi,1
2023-01-04 07:00:01+00:00,presiden jokowi hasil cipta pasti iklim investasi lalu perpu cipta kerja ini jadi jurus jokowi hadap ancam resesi jaga tumbuh ekonomi,1
2023-01-04 07:00:01+00:00,ada rupa bentuk langkah antisipasi hadap kondisi ekonomi global geopolitik sekaligus tumbuh asa tetap lang optimis hadap resesi jaga tumbuh ekonomi,1
2023-01-04 07:00:01+00:00,bilang resesi manut perintah aja buat maju ekonomi yg mantap jaga tumbuh ekonomi,1
2023-01-04 07:00:01+00:00,hadap ancam resesi jokowi cipta pasti ikim investasi lalu jaga tumbuh ekonomi,1
